C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
17 	282   	22.5308    	17 	642.324    	14.8122	4.78064	282   	44.1127    	39.1667	17 	94 	36  	1  	282   	18.8889
18 	277   	27.5569    	18 	835.906    	14.9923	4.33135	277   	64.6337    	42.2267	18 	93 	40.5	2  	277   	19.6457
19 	276   	62.4703    	19 	11524.9    	14.981 	4.33135	276   	664.918    	46.2267	19 	105	44.5	2  	276   	20.2301
20 	276   	2099.37    	20 	577149     	14.4826	2.13357	276   	33306.8    	48.5233	20 	134	44  	6  	276   	21.2065
21 	274   	7540.37    	21 	2.25194e+06	14.783 	1.20191	274   	129797     	52.8767	21 	134	49  	2  	274   	22.7387
22 	270   	452.361    	22 	96618.9    	13.4719	1.20191	270   	5702.17    	54.2733	22 	136	54.5	2  	270   	22.4904
23 	277   	76.0984    	23 	4713.63    	13.1538	1.20191	277   	404.009    	56.6833	23 	136	57  	3  	277   	22.5945
24 	282   	289.111    	24 	55795.4    	12.7924	1.20191	282   	3274.93    	57.8767	24 	160	57  	1  	282   	22.8589
25 	264   	79.6522    	25 	5565.61    	12.5038	1.20191	264   	453.948    	59.64  	25 	142	58  	1  	264   	21.2439
26 	274   	5.31426e+06	26 	1.59425e+09	12.6137	1.14939	274   	9.18907e+07	60.48  	26 	144	62  	1  	274   	20.8495
27 	277   	49.6682    	27 	4918.65    	12.581 	1.14447	277   	308.109    	60.6633	27 	128	62  	6  	277   	21.4953
28 	280   	16223.8    	28 	4.62849e+06	10.4593	0.825669	280   	266941     	58.54  	28 	123	59  	9  	280   	22.4653
29 	270   	50.0545    	29 	3911.78    	8.86018	0.734058	270   	274.523    	59.4733	29 	146	63  	2  	270   	22.8984
30 	268   	268.289    	30 	66484.4    	8.06097	0.734058	268   	3844.36    	62.4267	30 	141	66  	1  	268   	23.3506
31 	282   	63.8558    	31 	5102.1     	6.05471	0.734058	282   	388.106    	63.6967	31 	141	66  	10 	282   	23.5187
