C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
3  	277   	27.3759    	3  	532.51     	20.8865	13.66  	277   	40.9735   	14.87  	3  	52 	14 	1  	277   	9.13964
4  	270   	89.1024    	4  	15014.6    	20.518 	13.4383	270   	887.752   	17.4833	4  	47 	15.5	1  	270   	9.82699
5  	274   	34401.4    	5  	1.0231e+07 	20.2842	12.8198	274   	589700    	19.2533	5  	62 	17  	2  	274   	10.7382
6  	282   	152.436    	6  	36822.3    	20.2993	12.8198	282   	2121.97   	20.68  	6  	71 	19  	1  	282   	12.1561
7  	279   	29.154     	7  	803.365    	19.4982	9.39729	279   	56.5661   	22.86  	7  	82 	21  	3  	279   	12.918
8  	281   	98.1707    	8  	12093.9    	19.7615	9.39729	281   	791.825   	24.26  	8  	66 	22  	3  	281   	13.9075
9  	283   	138.601    	9  	16822.2    	19.0732	9.37636	283   	1188.02   	27.0133	9  	77 	23  	3  	283   	15.4249
10 	272   	41.7215    	10 	6154.13    	18.404 	9.37636	272   	353.65    	29.1967	10 	76 	27  	1  	272   	16.4409
11 	274   	10012.6    	11 	2.97304e+06	18.0224	8.60911	274   	171361    	30.2633	11 	84 	28  	1  	274   	16.1105
12 	285   	80918.8    	12 	2.42616e+07	18.1939	8.01694	285   	1.39841e+06	31.0733	12 	88 	29  	2  	285   	16.5119
13 	278   	74.1944    	13 	11335.4    	18.253 	7.36675	278   	661.502    	33.1067	13 	120	29  	3  	278   	19.2065
14 	277   	1225.86    	14 	359824     	17.7596	7.36675	277   	20738.3    	34.65  	14 	97 	31  	3  	277   	19.9259
15 	278   	2143.67    	15 	369697     	16.5368	5.26485	278   	25952.1    	37.89  	15 	96 	32.5	1  	278   	21.2383
16 	275   	36.3715    	16 	2171.61    	16.533 	5.26485	275   	160.218    	39.6167	16 	110	34  	3  	275   	22.7075
17 	287   	36.7054    	17 	2147.94    	16.2002	5.26485	287   	145.061    	48.6233	17 	136	44.5	3  	287   	24.7537
18 	280   	28.1885    	18 	1481.57    	15.7588	5.26485	280   	97.2038    	53.1467	18 	129	54  	1  	280   	25.5581
19 	274   	25.3425    	19 	392.211    	15.6383	2.53449	274   	39.2492    	58.0267	19 	141	63.5	1  	274   	26.0429
20 	273   	38.9816    	20 	3099.67    	14.9992	2.53449	273   	190.998    	62.8933	20 	149	68  	1  	273   	27.2539
21 	262   	40.1542    	21 	1280.75    	15.015 	2.4825 	262   	113.824    	69.4033	21 	149	74  	1  	262   	28.1928
22 	257   	1353.95    	22 	399912     	14.5531	2.4825 	257   	23049.3    	71.2633	22 	157	76  	1  	257   	28.9289
23 	272   	28.9592    	23 	779.034    	14.214 	2.4825 	272   	74.2287    	69.0033	23 	149	74  	1  	272   	31.2707
24 	275   	24.7272    	24 	1502.73    	14.1659	2.38159	275   	90.3124    	67.8367	24 	157	71.5	2  	275   	32.5528
25 	276   	384.919    	25 	43005.6    	13.7241	2.25636	276   	3492.23    	60.5867	25 	179	58.5	3  	276   	29.5219
26 	269   	220.031    	26 	33811.4    	13.7428	2.25636	269   	2344.61    	57.26  	26 	177	53  	1  	269   	27.3531
27 	277   	46.7786    	27 	2455.63    	12.9678	1.08352	277   	195.672    	54.56  	27 	184	51  	3  	277   	26.6963
28 	272   	56.7613    	28 	4121.48    	7.38611	1.08352	272   	341.559    	50.7233	28 	175	50  	1  	272   	22.6
29 	275   	57.0538    	29 	4008.17    	5.84331	0.913731	275   	298.912    	51.2167	29 	175	51  	3  	275   	19.7984
30 	276   	13499.8    	30 	4.03978e+06	5.22391	0.913731	276   	232846     	52.7233	30 	123	53  	1  	276   	17.8094
31 	274   	31.0165    	31 	4017.28    	5.05513	0.862833	274   	236.773    	52.5133	31 	121	52  	1  	274   	18.21
32 	273   	28.3448    	32 	2156.42    	4.24883	0.856567	273   	142.384    	53.3833	32 	116	55  	3  	273   	19.7255
33 	279   	60.3145    	33 	5371.28    	3.63075	0.789454	279   	378.319    	56.41  	33 	115	55  	2  	279   	20.3739
34 	270   	16.8254    	34 	654.32     	4.01305	0.570945	270   	49.0351    	54.7733	34 	117	55  	2  	270   	20.8869
35 	265   	79.0919    	35 	14325.9    	3.85241	0.570945	265   	837.783    	56.2433	35 	128	55.5	5  	265   	20.3079
36 	277   	80.6679    	36 	13028.9    	3.50355	0.493377	277   	800.45     	55.7167	36 	141	55  	1  	277   	21.5155
37 	262   	47.4587    	37 	6822.4     	2.6897 	0.492653	262   	455.995    	58.4767	37 	112	59  	1  	262   	20.2268
38 	272   	33.047     	38 	4690.18    	2.17413	0.449746	272   	277.29     	59.2667	38 	117	60  	2  	272   	20.7681
39 	269   	12.5926    	39 	561.491    	1.51707	0.44905 	269   	45.2028    	59.37  	39 	118	60  	1  	269   	21.4037
40 	278   	77.1249    	40 	9711.17    	1.47363	0.443841	278   	654.924    	60.1433	40 	112	62  	1  	278   	19.7473
41 	274   	2233.93    	41 	573420     	1.44303	0.443841	274   	33138.1    	60.7433	41 	104	61  	1  	274   	20.3913
42 	280   	53.5383    	42 	10062.9    	1.13138	0.443841	280   	593.051    	63.7167	42 	120	67  	1  	280   	22.2367
43 	286   	127.926    	43 	21613.8    	1.07615	0.425459	286   	1369.01    	64.6467	43 	119	66  	7  	286   	21.6229
44 	289   	49.3843    	44 	9811.35    	0.945331	0.395274	289   	568.052    	70.4867	44 	138	73  	1  	289   	23.421
45 	269   	2356.38    	45 	573196     	0.840096	0.395274	269   	33596.9    	76.9333	45 	146	81  	4  	269   	23.347
46 	286   	40.893     	46 	9711.31    	0.855423	0.395274	286   	559.582    	77.58  	46 	138	80  	7  	286   	23.2334
47 	275   	10.7707    	47 	646.372    	0.730935	0.385693	275   	46.7372    	81.6867	47 	153	85  	9  	275   	22.8726
48 	271   	49.9962    	48 	9741.55    	0.660131	0.385693	271   	578.27     	84.0567	48 	154	86.5	3  	271   	22.8086
49 	276   	16539.4    	49 	4.92018e+06	0.608556	0.352021	276   	283592     	87.2267	49 	132	87  	28 	276   	18.3694
50 	279   	9.54171    	50 	379.684    	0.594572	0.287221	279   	31.3231    	87.2233	50 	136	89  	20 	279   	20.5705
   	      	                        fitness                        	                          size
   	      	-------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max  	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
0  	300   	632.546	0  	82951	23.9588	15.9958	300   	5398.87	15.2467	0  	48 	13 	4  	300   	8.93901
1  	276   	105.155	1  	16238.7	21.7108	15.849 	276   	967.378	13.7633	1  	48 	12 	1  	276   	8.25191
2  	281   	602.18 	2  	166946 	21.6663	15.1865	281   	9623.05	13.14  	2  	40 	12 	1  	281   	7.67249
3  	279   	2073.51	3  	551809 	21.4431	15.1489	279   	31844.9	14.3167	3  	46 	13.5	1  	279   	8.17005
4  	273   	524.075	4  	148447 	21.0342	14.1974	273   	8554.75	15.3533	4  	46 	15  	1  	273   	9.02193
5  	285   	169.002	5  	29606.5	20.8689	13.9737	285   	1760.23	17.9133	5  	58 	17  	1  	285   	9.87754
6  	287   	61884.4	6  	1.82749e+07	20.4475	13.9737	287   	1.05335e+06	18.2333	6  	44 	17  	1  	287   	9.33446
7  	277   	55.4767	7  	5267.35    	20.1107	8.07919	277   	325.872    	19.3733	7  	43 	17  	1  	277   	9.2995
8  	279   	192.249	8  	23831.5    	19.1524	8.07919	279   	1679.54    	21.1367	8  	47 	19  	3  	279   	9.88794
9  	267   	76.7126	9  	13824.8    	17.9513	8.07919	267   	800.493    	23.1867	9  	59 	20  	3  	267   	10.6511
10 	279   	69.9198	10 	6716.24    	18.2857	8.07919	279   	437.874    	23.28  	10 	62 	21  	1  	279   	11.5719
11 	280   	96.039 	11 	8001.05    	17.9462	8.07919	280   	660.945    	24.9533	11 	63 	24  	1  	280   	11.8253
12 	283   	63.5444	12 	3301.11    	17.3123	8.07919	283   	304.138    	26.63  	12 	72 	26  	1  	283   	12.1724
13 	275   	38.6527	13 	2040.53    	17.135 	7.05969	275   	136.335    	26.6567	13 	62 	25.5	1  	275   	12.4147
14 	269   	110.778	14 	14253.9    	17.6605	7.05969	269   	940.244    	29.3067	14 	65 	28  	1  	269   	12.4574
15 	281   	1218.32	15 	354348     	16.2773	7.05969	281   	20422.3    	32.0267	15 	69 	32  	3  	281   	13.6401
16 	270   	1082.97	16 	277980     	15.8231	7.05969	270   	16170      	32.27  	16 	87 	30  	3  	270   	14.3452
17 	271   	32.2615	17 	1461.21    	15.2439	1.76887	271   	105.849    	32.96  	17 	76 	30.5	1  	271   	14.3895
18 	272   	35.8024	18 	1050.1     	15.2176	1.74402	272   	103.504    	33.5167	18 	83 	30  	2  	272   	15.7697
19 	280   	31.5779	19 	1070.19    	15.2899	1.74402	280   	91.7686    	34.9733	19 	94 	31  	1  	280   	17.0082
20 	275   	79.0245	20 	9700.4     	15.0019	1.74402	275   	589.677    	35.34  	20 	92 	31  	7  	275   	16.3194
21 	270   	1813.71	21 	533918     	14.7755	1.744  	270   	30772.6    	38.2567	21 	101	34  	1  	270   	18.6897
22 	289   	79.0024	22 	6924.07    	14.5934	1.744  	289   	497.338    	39.5   	22 	112	34  	1  	289   	19.7898
23 	283   	188.94 	23 	36421.7    	14.1052	1.18977	283   	2179.29    	40.3767	23 	107	36  	5  	283   	20.1084
24 	280   	35.0624	24 	3896.57    	13.2004	1.17102	280   	227.098    	40.7133	24 	99 	36  	1  	280   	21.8058
25 	286   	4827.22	25 	1.38176e+06	13.4163	0.954367	286   	79648.2    	44.8567	25 	134	40  	1  	286   	24.163
26 	272   	1469.86	26 	430940     	5.6693 	0.597548	272   	24837.4    	49.3233	26 	156	47  	2  	272   	24.464
27 	276   	7158.58	27 	2.13935e+06	4.43426	0.597548	276   	123308     	53.3267	27 	114	52.5	3  	276   	23.3231
28 	274   	117.604	28 	22164.2    	3.80526	0.597548	274   	1355.26    	56.1333	28 	117	56  	1  	274   	25.3275
29 	279   	127.113	29 	15224.1    	4.25339	0.414474	279   	1193.82    	55.48  	29 	142	55  	1  	279   	26.2905
30 	270   	123.067	30 	12046.6    	3.77385	0.414474	270   	922.624    	56.4233	30 	139	57  	5  	270   	26.5465
31 	270   	79.205 	31 	10052.4    	3.21488	0.414474	270   	653.744    	55.4233	31 	137	53  	5  	270   	25.1869
32 	281   	80.9599	32 	7447.97    	2.93506	0.414474	281   	560.442    	56.3967	32 	119	56  	1  	281   	23.8442
33 	272   	44.9089	33 	6617.52    	2.93815	0.414474	272   	393.317    	60.3533	33 	133	63  	1  	272   	24.1178
34 	276   	58.744 	34 	11882.9    	2.64478	0.414474	276   	688.364    	63.5833	34 	137	69  	1  	276   	22.8147
35 	271   	9.37073	35 	190.921    	2.23621	0.414474	271   	20.0976    	63.94  	35 	120	68  	1  	271   	22.5213
36 	280   	123.794	36 	20549.2    	2.17141	0.395883	280   	1374.21    	62.4867	36 	126	66  	5  	280   	24.1907
37 	273   	64.5486	37 	5962.51    	2.41736	0.395883	273   	420.978    	64.1433	37 	128	70  	1  	273   	24.9674
38 	267   	30.3732	38 	3646.02    	2.12176	0.395883	267   	240.562    	63.9667	38 	123	66  	2  	267   	25.8972
39 	282   	139.203	39 	14220.6    	2.15599	0.395883	282   	1174.83    	63.6567	39 	123	66  	3  	282   	26.5932
40 	264   	38.7903	40 	3599.82    	2.02975	0.395883	264   	254.611    	65.6   	40 	118	69.5	1  	264   	25.914
41 	285   	48652.2	41 	1.45407e+07	2.17803	0.395883	285   	838098     	68.4167	41 	132	73  	1  	285   	26.4687
42 	269   	1715.97	42 	505119     	2.21649	0.395883	269   	29113.7    	68.9233	42 	135	71  	2  	269   	26.9191
43 	271   	30.3838	43 	4408.53    	1.99187	0.395883	271   	262.606    	70.9533	43 	133	72  	2  	271   	24.5602
44 	257   	1031.64	44 	304827     	1.95469	0.395883	257   	17569.1    	70.77  	44 	157	71  	3  	257   	25.0651
45 	277   	20.5936	45 	2651.36    	1.84928	0.395883	277   	159.229    	68.19  	45 	129	70  	2  	277   	24.3803
46 	275   	19.9183	46 	2215.83    	1.73722	0.395883	275   	135.229    	68.5   	46 	131	71  	4  	275   	24.7042
47 	278   	15.1869	47 	981.625    	1.78074	0.395883	278   	69.8602    	67.8033	47 	147	71  	2  	278   	26.7576
48 	272   	57.2249	48 	13719.5    	1.89461	0.395883	272   	790.672    	70.6467	48 	130	74.5	3  	272   	26.5785
49 	277   	2716.9 	49 	468282     	2.05173	0.395883	277   	31081      	73.4333	49 	138	76.5	3  	277   	26.2709
50 	276   	61.1116	50 	6509.32    	1.85211	0.395883	276   	468.398    	72.16  	50 	138	71  	16 	276   	25.1497
Average MSE for parameter set 1 (cpb=0.9, mpb=0.2, elitism=True): 0.335615764737655
Median MSE for parameter set 1 (cpb=0.9, mpb=0.2, elitism=True): 0.26502526150591943
Minimum MSE for parameter set 1 (cpb=0.9, mpb=0.2, elitism=True): 0.03050376008094662


Process finished with exit code 0
